source_url,canonical_url,lang,destination,page_type,status,redirect_type,notes
https://www.andetag.museum/de/berlin/,https://www.andetag.museum/de/berlin/,de,berlin,content,keep,none,shell canonical
https://www.andetag.museum/de/berlin/die-kuenstler-malin-gustaf-tadaa/,https://www.andetag.museum/de/berlin/die-kuenstler-malin-gustaf-tadaa/,de,berlin,content,keep,none,shell canonical
https://www.andetag.museum/de/berlin/musik-von-andetag/,https://www.andetag.museum/de/berlin/musik-von-andetag/,de,berlin,content,keep,none,shell canonical
https://www.andetag.museum/de/berlin/optische-fasertextil/,https://www.andetag.museum/de/berlin/optische-fasertextil/,de,berlin,content,keep,none,shell canonical
https://www.andetag.museum/de/berlin/privacy/,https://www.andetag.museum/de/berlin/privacy/,de,berlin,legal,keep,none,shell canonical
https://www.andetag.museum/de/berlin/ueber-andetag/,https://www.andetag.museum/de/berlin/ueber-andetag/,de,berlin,content,keep,none,shell canonical
https://www.andetag.museum/en/,https://www.andetag.museum/en/,en,stockholm,content,keep,none,selector utility shell, meta robots noindex follow, excluded from sitemap
https://www.andetag.museum/en/berlin/,https://www.andetag.museum/en/berlin/,en,berlin,content,keep,none,shell canonical
https://www.andetag.museum/en/berlin/about-andetag/,https://www.andetag.museum/en/berlin/about-andetag/,en,berlin,content,keep,none,shell canonical
https://www.andetag.museum/en/berlin/about-the-artists-malin-gustaf-tadaa/,https://www.andetag.museum/en/berlin/about-the-artists-malin-gustaf-tadaa/,en,berlin,content,keep,none,shell canonical
https://www.andetag.museum/en/berlin/music/,https://www.andetag.museum/en/berlin/music/,en,berlin,content,keep,none,shell canonical
https://www.andetag.museum/en/berlin/optical-fibre-textile/,https://www.andetag.museum/en/berlin/optical-fibre-textile/,en,berlin,content,keep,none,shell canonical
https://www.andetag.museum/en/berlin/privacy/,https://www.andetag.museum/en/berlin/privacy/,en,berlin,legal,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/,https://www.andetag.museum/en/stockholm/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/about-andetag/,https://www.andetag.museum/en/stockholm/about-andetag/,en,stockholm,content,keep,none,shell canonical
